,Cluster Name,Facility Type,Cluster Start Date,# Cases,Latitude,Longitude,violation_address,violation_lat,violation_lon,violation_distance,violation_match,color
6,Nashville Center for Rehab and Healing,LTCF,4/8/2020,12,36.1345574,-86.780929,832 Wedgewood Ave,36.13469021159486,-86.78167209325409,0.04246938638006788,Violation Match,red
59,Nashville Rescue Mission - Women's Campus,Congregate Living,10/1/2020,70,36.1536999,-86.7772757,608 Lafayette St,36.154029799999996,-86.77654100000001,0.0468994309475499,Violation Match,red
12,Rescue Mission-Fairgrounds,Congregate Living,4/30/2020,156,36.1536999,-86.7772757,608 Lafayette St,36.154029799999996,-86.77654100000001,0.0468994309475499,Violation Match,red
25,Ahava / Grace Healthcare of White's Creek,LTCF,6/26/2020,46,36.238445,-86.80227,3425 Knight Dr,36.23791,-86.80171999999999,0.04801942731213065,Violation Match,red
3,The Health Center at Richland Place,LTCF,4/3/2020,47,36.128749799999994,-86.8173446,Elmington Ave & Sharondale Dr,36.1280179,-86.81683829999999,0.0579275505505577,Violation Match,red
5,Tyson Foods,Commercial-Warehouse,4/6/2020,280,36.3310149,-86.709977,201 Cartwright St,36.33137279999999,-86.7110441,0.06433887798109092,Violation Match,red
49,Riverbend Max Security Prison-2,Correctional Facility,9/1/2020,60,36.179843,-86.8972125,7400 Cockrill Bend Blvd,36.18043694624993,-86.89594006522724,0.08197492016220868,Violation Match,red
19,Lipscomb Elam Hall job site,Construction,6/10/2020,32,36.1061679,-86.79792579999999,3901 Granny White Pike,36.10505270000001,-86.7986592,0.08725400119576966,Violation Match,red
26,CDM Jail,Correctional Facility,6/26/2020,75,36.0882,-86.6839796,5115 Harding Pl,36.08718,-86.68273,0.09917097390144682,Violation Match,red
7,CDM Jail,Correctional Facility,4/13/2020,22,36.0882,-86.6839796,5115 Harding Pl,36.08718,-86.68273,0.09917097390144682,Violation Match,red
41,Blakeford Green Hills,LTCF,7/30/2020,18,36.0932865,-86.8202662,205 Ashlawn Ct,36.09239051157688,-86.81852580666407,0.11521425350812577,Violation Match,red
42,Progress Inc.,Congregate Living,7/30/2020,12,36.102733,-86.6744214,301 Ezell Pike,36.10337,-86.67233,0.1247717705836315,Violation Match,red
48,Lois DeBerry Special Needs Facility,Correctional Facility,9/1/2020,62,36.190929700000005,-86.9000359,7575 Cockrill Bend Blvd,36.18985,-86.89806999999999,0.132598809056878,Violation Match,red
38,NHC Place at the Trace NH,LTCF,7/14/2020,19,36.035222999999995,-86.9661963,5948 Pasquo Rd,36.034869338658474,-86.96878178045155,0.14651020524998562,Violation Match,red
37,NHC Place at the Trace ACLF,LTCF,7/14/2020,14,36.035222999999995,-86.9661963,5948 Pasquo Rd,36.034869338658474,-86.96878178045155,0.14651020524998562,Violation Match,red
40,Middle TN Mental Health Inst,Congregate Living,7/29/2020,48,36.163998600000006,-86.64734659999999,256 Stewarts Ferry Pike,36.1618315,-86.6474413,0.14982529991416224,Violation Match,red
33,Men of Valor,Congregate Living,7/1/2020,10,36.0615425,-86.669342,Blue Hole Rd & Antioch Pike,36.05997,-86.67211999999999,0.18942157358913203,Violation Match,red
11,Knowles Assisted Living,LTCF,4/27/2020,41,36.181554299999995,-86.8489279,3337 Cocoa Dr,36.1854508,-86.84633170000001,0.3056840047202678,No Match,green
24,West Meade Place,LTCF,6/24/2020,11,36.1034239,-86.88865009999999,6216 Robin Hill Rd,36.107167,-86.8830868,0.40414521536582265,No Match,green
